trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
93,False,"{'a': 0.3, 'e': 0.3887839180742268}",20,11,-19.035094418641314,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
94,False,"{'a': 0.3, 'e': 0.38489607889348454}",30,11,2.722432048737029,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 0}",1
95,False,"{'a': 0.3, 'e': 0.38104711810454966}",25,11,15.690323131543535,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.3, 'e': 0.37723664692350417}",20,7,-18.615660923531436,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
97,False,"{'a': 0.3, 'e': 0.37346428045426916}",25,3,-22.13261364441258,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 1}",1
98,False,"{'a': 0.3, 'e': 0.36972963764972644}",20,11,-25.229239713923835,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 0}",1
99,False,"{'a': 0.3, 'e': 0.3660323412732292}",20,6,12.569405565027036,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.3, 'e': 0.3623720178604969}",20,2,26.490171734472383,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.3, 'e': 0.3587482976818919}",20,2,-15.885488377332532,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
102,False,"{'a': 0.3, 'e': 0.355160814705073}",25,0,-40.53610334515313,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",1
103,False,"{'a': 0.3, 'e': 0.35160920655802225}",30,19,-0.6590210490448203,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.3, 'e': 0.348093114492442}",25,15,3.8642517684189963,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.3, 'e': 0.3446121833475176}",20,5,-16.550904991001946,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
